timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478106834.09,-1.427305,0.058927,-0.875630,-0.225734,1.259729,5.054179,-0.988005,-0.058893,-0.142752,3.051207,-1.708884,0.738287,-35.606754,15.214729,-13.595709,,,,,,
1478106834.11,-1.389664,-0.022262,-0.838143,1.791022,2.211450,3.511854,-0.983397,0.022261,-0.180099,1.870909,-0.910597,0.364181,-32.366814,21.577633,-13.075446,,,,,,
1478106834.13,-1.345128,-0.045427,-0.794312,1.889261,1.748752,0.280149,-0.973639,0.045411,-0.223527,0.762137,1.509856,0.067475,-29.340824,23.671286,-16.215996,,,,,,
1478106834.15,-1.335925,0.023331,-0.764886,2.442325,-0.436389,-5.366745,-0.972280,-0.023329,-0.232655,0.410848,2.250029,-0.084408,-29.340824,23.671286,-16.215996,,,,,,
1478106834.17,-1.390206,0.151683,-0.767958,2.913568,8.583991,-10.841629,-0.972443,-0.151102,-0.177548,-1.746765,7.349588,1.161358,-31.171513,19.805029,-17.896078,,,,,,
1478106834.19,-1.309697,0.439102,-0.729851,4.631588,1.586517,-12.642145,-0.874456,-0.425127,-0.233653,3.463918,-2.378279,-2.428669,-34.686665,7.936801,-20.445404,,,,,,
1478106834.21,-1.326709,0.718890,-0.690267,4.423023,0.239067,-11.665744,-0.730231,-0.658550,-0.181866,2.346457,0.607250,0.439801,-34.686665,7.936801,-20.445404,,,,,,
1478106834.23,-1.338461,0.920709,-0.649663,3.999673,0.493858,-9.595026,-0.588993,-0.796031,-0.139361,0.716328,1.533168,-0.758512,-34.310596,-8.201728,-20.968706,,,,,,
1478106834.25,-1.397325,1.130464,-0.593215,3.295956,-0.326826,-9.660390,-0.419843,-0.904610,-0.073570,0.495435,-0.185051,0.007042,-30.936489,-18.023212,-20.056660,,,,,,
1478106834.27,-1.514248,1.313979,-0.481923,2.728746,-0.952673,-8.543792,-0.253597,-0.967203,-0.014356,-0.036823,0.118845,-0.231921,-30.936489,-18.023212,-20.056660,,,,,,
1478106834.29,-1.873639,1.462763,-0.154829,1.575542,-2.392399,-6.793359,-0.102917,-0.994170,0.032157,-1.271214,-0.911164,-1.000601,-24.901047,-27.533573,-17.493206,,,,,,
